ID	GENERO	RENTA	EDAD	NIV_EDUC	E_CIVIL	COD_OFI	COD_COM	CIUDAD	Crédito_1	Crédito_2	Crédito_3	Crédito_4	Monto solicitado	Días de Mora	Monto Deuda Promedio	Número de meses inactivo	numero de cuotas	Aval	PAGA
1	F       	463000	55	MED     	CAS     	27	226	CONCEPCION      	0	-4030	0	292673	142	0	81	1	18	NO	PAGA
2	F       	1200000	59	MED     	CAS     	121	226	CONCEPCION      	0	0	27797549	0	16	0	34519	1	60	NO	NO PAGA
3	F       	526000	49	TEC     	SEP     	59	88	SANTIAGO        	0	750000	0	0	0	0	8016	0	14	NO	NO PAGA
4	M       	1500000	47	UNV     	SEP     	138	1	ARICA           	0	976444	0	0	13	10	25323	1	66	NO	PAGA
5	M       	2600000	41	UNV     	CAS     	60	291	PUERTO MONTT    	0	115440	0	4500000	7960	14	4566	3	77	SI	NO PAGA
6	F       	1250000	30	MED     	SOL     	63	300	CASTRO          	0	799000	0	0	147	0	0	1	55	NO	NO PAGA
7	M       	724000	47	UNV     	CAS     	138	1	ARICA           	0	500000	0	1963	0	0	2	1	24	NO	PAGA
8	M       	1196000	53	UNV     	CAS     	27	226	CONCEPCION      	0	0	0	0	0	4	0	1	60	NO	PAGA
9	F       	510000	39	MED     	CAS     	96	131	RANCAGUA        	0	1050000	0	279914	305	0	0	1	10	NO	NO PAGA
10	M       	685000	51	UNV     	CAS     	82	108	SANTIAGO        	0	164272	0	99401	114	0	1152	1	26	NO	PAGA
11	M       	760000	55	UNV     	SOL     	138	1	ARICA           	0	800000	0	0	41	0	0	1	30	NO	PAGA
12	M       	57300	40	UNV     	CAS     	90	80	SANTIAGO        	0	3292	0	220383	720	0	12014	2	43	NO	PAGA
13	F       	558000	45	UNV     	CAS     	31	119	SANTIAGO        	0	9521	0	241673	733	0	258	2	15	NO	PAGA
14	M       	2854000	53	TEC     	CAS     	27	226	CONCEPCION      	10224716	153716	0	3000000	14176	0	52949	3	30	SI	PAGA
15	M       	2000000	47	UNV     	SOL     	138	1	ARICA           	0	1296000	0	200000	964	59	26225	2	80	NO	PAGA
16	M       	659000	50	UNV     	SOL     	138	1	ARICA           	0	81964	0	0	76	0	0	1	26	NO	PAGA
17	M       	5620000	43	UNV     	CAS     	40	80	SANTIAGO        	0	839481	0	2689049	500	60	3520	2	47	NO	PAGA
