GENERO,RENTA,EDAD,NIV_EDUC,E_CIVIL,COD_OFI,COD_COM,CIUDAD,Crédito_1,Crédito_2,Crédito_3,Crédito_4,Monto solicitado,Días de Mora,Monto Deuda Promedio,Número de meses inactivo,numero de cuotas,Aval,PAGA
0,463000.0,55.0,1,1,27,226.0,0,0,-4030,0.0,292673,142.0,0,81,1,18,0,1
0,1200000.0,59.0,1,1,121,226.0,0,0,0,27797549.0,0,16.0,0,34519,1,60,0,0
0,526000.0,49.0,2,2,59,88.0,1,0,750000,0.0,0,0.0,0,8016,0,14,0,0
1,1500000.0,47.0,4,2,138,1.0,2,0,976444,0.0,0,13.0,10,25323,1,66,0,1
1,2600000.0,41.0,4,1,60,291.0,3,0,115440,0.0,4500000,7960.0,14,4566,3,77,1,0
0,1250000.0,30.0,1,0,63,300.0,4,0,799000,0.0,0,147.0,0,0,1,55,0,0
1,724000.0,47.0,4,1,138,1.0,2,0,500000,0.0,1963,0.0,0,2,1,24,0,1
1,1196000.0,53.0,4,1,27,226.0,0,0,0,0.0,0,0.0,4,0,1,60,0,1
0,510000.0,39.0,1,1,96,131.0,5,0,1050000,0.0,279914,305.0,0,0,1,10,0,0
1,685000.0,51.0,4,1,82,108.0,1,0,164272,0.0,99401,114.0,0,1152,1,26,0,1
1,760000.0,55.0,4,0,138,1.0,2,0,800000,0.0,0,41.0,0,0,1,30,0,1
1,57300.0,40.0,4,1,90,80.0,1,0,3292,0.0,220383,720.0,0,12014,2,43,0,1
0,558000.0,45.0,4,1,31,119.0,1,0,9521,0.0,241673,733.0,0,258,2,15,0,1
1,2854000.0,53.0,2,1,27,226.0,0,10224716,153716,0.0,3000000,14176.0,0,52949,3,30,1,1
1,2000000.0,47.0,4,0,138,1.0,2,0,1296000,0.0,200000,964.0,59,26225,2,80,0,1
1,659000.0,50.0,4,0,138,1.0,2,0,81964,0.0,0,76.0,0,0,1,26,0,1
1,5620000.0,43.0,4,1,40,80.0,1,0,839481,0.0,2689049,500.0,60,3520,2,47,0,1
1,2000000.0,61.0,2,1,24,124.0,6,0,500000,0.0,0,89.0,0,53118,1,80,0,0
1,820000.0,36.0,4,1,54,88.0,1,0,500000,0.0,0,0.0,0,64276,0,36,0,0
1,500000.0,40.0,2,1,88,67.0,7,0,1117500,0.0,0,174.0,0,0,1,9,0,0
0,600000.0,51.0,4,1,138,1.0,2,0,13476,0.0,0,279.0,0,0,1,22,0,1
0,70000.0,51.0,1,0,50,98.0,1,0,1300000,0.0,0,0.0,30,3358,0,62,1,0
0,6800000.0,34.0,2,0,19,80.0,1,0,0,0.0,93283,1028.0,0,491,1,14,0,0
1,1502000.0,45.0,4,1,31,119.0,1,2296794,425354,0.0,1649683,3005.0,37,3037,1,46,0,1
0,50000.0,45.0,2,2,16,313.0,8,332606,1198000,0.0,0,358.0,0,0,1,9,1,0
1,1160000.0,50.0,4,1,83,85.0,1,0,12044,0.0,1099284,3595.0,4,5361,3,23,0,1
0,2200000.0,38.0,4,0,84,85.0,1,0,491609,0.0,0,8.0,45,0,1,80,0,0
0,5010000.0,38.0,2,0,53,100.0,1,0,224185,0.0,49141,53.0,0,0,1,16,0,0
1,762000.0,45.0,1,0,103,93.0,1,0,250000,0.0,0,17.0,0,0,1,36,1,1
1,750000.0,35.0,2,1,16,89.0,1,0,490455,0.0,0,48.0,13,225,1,33,0,0
0,54700.0,50.0,1,0,82,91.0,1,0,260461,0.0,297328,5.0,0,165,1,49,1,0
1,1200000.0,29.0,2,0,13,16.0,9,0,438043,0.0,0,1008.0,0,799,1,50,0,0
1,800000.0,32.0,1,1,27,226.0,0,0,750000,0.0,727188,667.0,0,1581,2,33,1,1
0,77000.0,31.0,1,0,24,88.0,1,0,3082754,0.0,0,0.0,0,11523,0,80,1,0
1,1400000.0,37.0,1,2,84,16.0,9,0,1764296,0.0,0,5.0,0,0,1,53,0,0
0,463000.0,63.0,1,1,95,316.0,10,0,423805,0.0,289449,786.0,0,0,1,11,0,0
0,1153000.0,42.0,4,1,138,1.0,2,1451108,19684,0.0,100000,4842.0,0,102,2,10,0,1
1,4860000.0,40.0,4,1,31,119.0,1,0,350000,0.0,3537708,292.0,0,12249,1,55,0,1
0,47000.0,50.0,1,0,25,85.0,1,1815858,1000000,0.0,0,5376.0,0,1019,3,9,1,0
0,46000.0,43.0,1,0,11,11.0,11,0,476919,0.0,0,0.0,0,2740,0,61,1,0
1,7500000.0,43.0,4,1,90,100.0,1,601716,381282,0.0,223709,60.0,0,248,1,31,0,1
0,700000.0,57.0,1,1,34,88.0,1,0,412550,0.0,64967,194.0,0,30,1,24,0,0
1,50000.0,45.0,1,1,55,90.0,1,0,540021,0.0,0,10.0,2,0,1,60,0,1
0,6400000.0,64.0,2,1,78,184.0,12,0,789829,0.0,112684,11622.0,0,2,1,80,0,0
0,48700.0,60.0,2,0,22,1.0,2,819533,92031,0.0,1997053,3189.0,0,2032,1,29,1,0
0,520000.0,60.0,2,2,63,300.0,4,0,0,0.0,0,13.0,0,0,1,21,0,0
1,2466000.0,30.0,1,0,101,88.0,1,0,1250000,0.0,768770,1195.0,0,305,1,80,0,0
0,8000000.0,35.0,1,0,75,74.0,13,515659,35779,0.0,485815,1130.0,0,506,1,18,0,0
0,6000000.0,38.0,2,3,10,5.0,14,0,562702,0.0,0,372.0,0,0,1,38,0,0
0,9500000.0,40.0,2,0,67,193.0,15,0,288102,0.0,0,6.0,0,0,1,16,0,0
1,1250000.0,28.0,2,0,13,16.0,9,0,800000,0.0,0,229.0,36,4143,2,55,1,0
0,626000.0,48.0,1,2,138,1.0,2,0,451626,0.0,0,0.0,0,0,1,21,0,1
1,2000000.0,59.0,4,0,101,98.0,1,0,500000,0.0,2500000,1152.0,0,2823,1,80,0,0
0,50000.0,43.0,2,0,24,116.0,1,0,0,0.0,305359,0.0,0,340,0,26,1,0
1,557000.0,35.0,1,1,90,,-1,0,0,0.0,0,1123.0,20,0,1,12,0,0
1,45000.0,40.0,1,1,55,90.0,1,2208949,500000,0.0,950055,4777.0,12,957,2,18,0,1
0,1100000.0,53.0,1,1,12,16.0,9,0,1119107,0.0,569852,226.0,0,805,1,44,0,0
0,9800000.0,38.0,2,0,40,67.0,7,0,500000,0.0,0,6190.0,0,60754,1,48,0,0
0,580000.0,57.0,2,3,27,226.0,0,0,0,0.0,1498432,0.0,0,4506,0,24,0,0
1,700000.0,26.0,4,1,15,67.0,7,796783,900983,0.0,0,888.0,0,0,1,12,0,0
1,2600000.0,41.0,4,1,60,291.0,3,0,115440,0.0,4500000,7960.0,14,4566,3,77,1,0
1,1400000.0,42.0,1,2,31,119.0,1,3105337,650000,0.0,0,4883.0,0,516,2,22,1,1
0,4600000.0,44.0,4,1,118,94.0,1,0,13686,0.0,169317,1131.0,0,326,2,13,0,1
1,601000.0,47.0,4,1,138,1.0,2,0,90909,0.0,234949,591.0,0,303,1,19,1,1
1,77900.0,52.0,4,1,55,90.0,1,0,500000,0.0,0,965.0,0,0,2,17,0,1
1,1106000.0,35.0,4,1,98,122.0,16,0,649998,0.0,429782,0.0,11,395,0,49,1,0
1,5500000.0,43.0,1,2,18,118.0,1,0,325000,0.0,0,0.0,0,0,1,37,1,1
1,1200000.0,48.0,1,1,66,253.0,17,0,0,0.0,0,0.0,0,0,0,60,0,0
1,1196000.0,48.0,4,1,138,1.0,2,0,0,0.0,0,0.0,4,0,1,60,0,1
1,750000.0,47.0,1,0,138,1.0,2,0,156284,0.0,0,304.0,0,0,1,35,1,1
1,674000.0,44.0,2,1,138,1.0,2,0,1631228,0.0,1015374,302.0,0,2928,2,11,0,1
1,1100000.0,46.0,1,0,138,1.0,2,0,1099564,0.0,0,16.0,1,0,1,45,0,1
1,850000.0,55.0,4,1,18,89.0,1,604663,0,0.0,0,890.0,18,3,3,34,0,1
0,1000000.0,42.0,1,0,27,226.0,0,796361,259348,0.0,132718,1288.0,0,0,1,38,1,0
0,51900.0,48.0,2,0,22,93.0,1,0,0,0.0,800000,195.0,25,138,1,54,1,0
0,90000.0,36.0,2,0,116,131.0,5,1539136,63243,0.0,0,3437.0,10,810,1,11,1,0
0,440000.0,36.0,4,1,21,502.0,18,0,0,0.0,328674,0.0,0,276,0,18,0,0
0,478000.0,27.0,2,0,45,128.0,19,0,250000,0.0,202165,0.0,0,203,0,17,0,0
1,1566000.0,35.0,4,1,66,253.0,17,3874669,461265,201045.0,0,4107.0,0,318,1,51,0,0
0,573000.0,55.0,2,2,16,89.0,1,964531,100000,0.0,0,1032.0,0,0,1,13,0,1
1,772000.0,51.0,4,1,138,1.0,2,0,-17434,0.0,250000,1258.0,0,256,2,27,1,1
0,600000.0,47.0,1,1,138,1.0,2,0,300000,0.0,0,0.0,0,124,1,21,0,1
1,800000.0,53.0,1,0,55,93.0,1,0,300000,0.0,0,0.0,0,0,0,37,0,0
1,1500000.0,49.0,4,3,45,,-1,0,1000000,0.0,0,67.0,25,0,1,65,0,0
1,700000.0,33.0,2,0,83,88.0,1,0,0,0.0,0,1939.0,0,1162,1,9,0,0
1,1350000.0,43.0,4,1,138,1.0,2,0,950000,0.0,885181,544.0,0,587,1,58,0,1
0,500000.0,44.0,1,1,36,67.0,7,0,938949,0.0,0,103.0,0,0,1,11,0,0
0,4600000.0,33.0,2,0,61,284.0,20,1654119,750000,0.0,378822,1866.0,0,659,1,19,0,0
1,75600.0,40.0,4,2,132,118.0,1,0,10741,0.0,1430498,3530.0,20,6307,3,14,0,1
0,4520000.0,31.0,1,1,56,131.0,5,0,30127,0.0,600000,591.0,0,612,1,19,1,0
1,52700.0,44.0,4,1,55,90.0,1,0,0,0.0,600000,0.0,0,3168,1,20,0,1
0,54400.0,50.0,2,0,13,16.0,9,0,500000,0.0,0,0.0,34,0,0,45,1,0
1,1200000.0,40.0,2,1,30,98.0,1,1807305,2300000,0.0,617552,2654.0,0,699,3,19,0,0
0,5470000.0,40.0,2,0,29,93.0,1,0,16514,0.0,622113,2031.0,0,384,3,30,1,0
0,770000.0,49.0,1,1,138,85.0,1,0,-7255,0.0,801618,2058.0,0,702,3,18,0,1
0,6680000.0,24.0,2,2,118,86.0,1,0,733853,0.0,24527,0.0,0,4,0,31,0,0
0,500000.0,59.0,2,1,84,89.0,1,0,581247,0.0,0,86.0,0,0,1,15,0,0
1,950000.0,41.0,2,1,122,95.0,1,0,890000,0.0,0,380.0,0,0,2,39,0,0
0,680000.0,34.0,4,1,128,88.0,1,0,138979,0.0,492813,362.0,0,81,2,24,0,0
0,520000.0,60.0,2,0,63,300.0,4,0,0,0.0,0,13.0,0,0,1,21,0,0
1,621000.0,28.0,2,1,27,226.0,0,0,219332,0.0,0,1997.0,4,352,3,5,0,1
1,634000.0,54.0,2,1,25,106.0,1,0,500000,0.0,1099438,1573.0,0,2040,1,10,0,1
0,600000.0,32.0,2,1,34,29.0,21,0,400000,0.0,350000,0.0,0,355,0,20,0,0
1,2700000.0,42.0,4,1,19,115.0,1,0,389673,0.0,0,48.0,0,283,1,80,0,0
0,71600.0,50.0,1,0,27,226.0,0,0,0,0.0,0,59.0,7,0,1,26,1,0
1,750000.0,34.0,2,0,27,226.0,0,0,700000,0.0,0,211.0,23,0,1,31,0,0
1,519000.0,48.0,4,1,138,1.0,2,0,205068,0.0,0,11.0,0,185,1,19,0,1
0,4550000.0,32.0,2,0,62,292.0,22,0,232647,0.0,0,972.0,31,0,3,28,0,0
1,1704000.0,51.0,4,0,90,88.0,1,0,1250000,0.0,751553,3872.0,50,1942,3,64,0,1
0,486000.0,29.0,2,0,16,91.0,1,0,15132,0.0,140691,207.0,0,87,1,18,0,0
0,750000.0,54.0,4,2,27,226.0,0,0,519917,0.0,291628,0.0,0,301,1,33,0,1
1,2000000.0,50.0,1,3,49,110.0,1,416504,0,0.0,0,828.0,0,1022,1,80,0,1
0,8000000.0,38.0,2,3,138,112.0,1,0,1000000,0.0,0,0.0,0,40,0,80,0,0
