ID;GENERO;RENTA;EDAD;NIV_EDUC;E_CIVIL;COD_OFI;COD_COM;CIUDAD;Crédito_1;Crédito_2;Crédito_3;Crédito_4;Monto solicitado;Días de Mora;Monto Deuda Promedio;Número de meses inactivo;numero de cuotas;Aval;PAGA
1;F       ;463,000;55;MED     ;CAS     ;27;226;CONCEPCION      ;0;-4,030;0;292,673;142;0;81;1;18;NO;PAGA
2;F       ;1,200,000;59;MED     ;CAS     ;121;226;CONCEPCION      ;0;0;27,797,549;0;16;0;34,519;1;60;NO;NO PAGA
3;F       ;526,000;49;TEC     ;SEP     ;59;88;SANTIAGO        ;0;750,000;0;0;0;0;8,016;0;14;NO;NO PAGA
4;M       ;1,500,000;47;UNV     ;SEP     ;138;1;ARICA           ;0;976,444;0;0;13;10;25,323;1;66;NO;PAGA
5;M       ;2,600,000;41;UNV     ;CAS     ;60;291;PUERTO MONTT    ;0;115,440;0;4,500,000;7,960;14;4,566;3;77;SI;NO PAGA
6;F       ;1,250,000;30;MED     ;SOL     ;63;300;CASTRO          ;0;799,000;0;0;147;0;0;1;55;NO;NO PAGA
7;M       ;724,000;47;UNV     ;CAS     ;138;1;ARICA           ;0;500,000;0;1,963;0;0;2;1;24;NO;PAGA
8;M       ;1,196,000;53;UNV     ;CAS     ;27;226;CONCEPCION      ;0;0;0;0;0;4;0;1;60;NO;PAGA
9;F       ;510,000;39;MED     ;CAS     ;96;131;RANCAGUA        ;0;1,050,000;0;279,914;305;0;0;1;10;NO;NO PAGA
10;M       ;685,000;51;UNV     ;CAS     ;82;108;SANTIAGO        ;0;164,272;0;99,401;114;0;1,152;1;26;NO;PAGA
11;M       ;760,000;55;UNV     ;SOL     ;138;1;ARICA           ;0;800,000;0;0;41;0;0;1;30;NO;PAGA
12;M       ;57,300;40;UNV     ;CAS     ;90;80;SANTIAGO        ;0;3,292;0;220,383;720;0;12,014;2;43;NO;PAGA
13;F       ;558,000;45;UNV     ;CAS     ;31;119;SANTIAGO        ;0;9,521;0;241,673;733;0;258;2;15;NO;PAGA
14;M       ;2,854,000;53;TEC     ;CAS     ;27;226;CONCEPCION      ;10,224,716;153,716;0;3,000,000;14,176;0;52,949;3;30;SI;PAGA
15;M       ;2,000,000;47;UNV     ;SOL     ;138;1;ARICA           ;0;1,296,000;0;200,000;964;59;26,225;2;80;NO;PAGA
