RENTA,EDAD,NIV_EDUC,COD_OFI,Crédito_1,Crédito_2,Crédito_3,Crédito_4,Número de meses inactivo,GENERO_0.0,GENERO_1.0,E_CIVIL_0.0,E_CIVIL_1.0,E_CIVIL_2.0,E_CIVIL_3.0
463000.0,55.0,1,27,0,-4030,0.0,292673,1,1,0,0,1,0,0
1200000.0,59.0,1,121,0,0,27797549.0,0,1,1,0,0,1,0,0
526000.0,49.0,2,59,0,750000,0.0,0,0,1,0,0,0,1,0
1500000.0,47.0,4,138,0,976444,0.0,0,1,0,1,0,0,1,0
2600000.0,41.0,4,60,0,115440,0.0,4500000,3,0,1,0,1,0,0
1250000.0,30.0,1,63,0,799000,0.0,0,1,1,0,1,0,0,0
724000.0,47.0,4,138,0,500000,0.0,1963,1,0,1,0,1,0,0
1196000.0,53.0,4,27,0,0,0.0,0,1,0,1,0,1,0,0
510000.0,39.0,1,96,0,1050000,0.0,279914,1,1,0,0,1,0,0
685000.0,51.0,4,82,0,164272,0.0,99401,1,0,1,0,1,0,0
760000.0,55.0,4,138,0,800000,0.0,0,1,0,1,1,0,0,0
57300.0,40.0,4,90,0,3292,0.0,220383,2,0,1,0,1,0,0
558000.0,45.0,4,31,0,9521,0.0,241673,2,1,0,0,1,0,0
2854000.0,53.0,2,27,10224716,153716,0.0,3000000,3,0,1,0,1,0,0
2000000.0,47.0,4,138,0,1296000,0.0,200000,2,0,1,1,0,0,0
659000.0,50.0,4,138,0,81964,0.0,0,1,0,1,1,0,0,0
5620000.0,43.0,4,40,0,839481,0.0,2689049,2,0,1,0,1,0,0
2000000.0,61.0,2,24,0,500000,0.0,0,1,0,1,0,1,0,0
820000.0,36.0,4,54,0,500000,0.0,0,0,0,1,0,1,0,0
500000.0,40.0,2,88,0,1117500,0.0,0,1,0,1,0,1,0,0
600000.0,51.0,4,138,0,13476,0.0,0,1,1,0,0,1,0,0
70000.0,51.0,1,50,0,1300000,0.0,0,0,1,0,1,0,0,0
6800000.0,34.0,2,19,0,0,0.0,93283,1,1,0,1,0,0,0
1502000.0,45.0,4,31,2296794,425354,0.0,1649683,1,0,1,0,1,0,0
50000.0,45.0,2,16,332606,1198000,0.0,0,1,1,0,0,0,1,0
1160000.0,50.0,4,83,0,12044,0.0,1099284,3,0,1,0,1,0,0
2200000.0,38.0,4,84,0,491609,0.0,0,1,1,0,1,0,0,0
5010000.0,38.0,2,53,0,224185,0.0,49141,1,1,0,1,0,0,0
762000.0,45.0,1,103,0,250000,0.0,0,1,0,1,1,0,0,0
750000.0,35.0,2,16,0,490455,0.0,0,1,0,1,0,1,0,0
54700.0,50.0,1,82,0,260461,0.0,297328,1,1,0,1,0,0,0
1200000.0,29.0,2,13,0,438043,0.0,0,1,0,1,1,0,0,0
800000.0,32.0,1,27,0,750000,0.0,727188,2,0,1,0,1,0,0
77000.0,31.0,1,24,0,3082754,0.0,0,0,1,0,1,0,0,0
1400000.0,37.0,1,84,0,1764296,0.0,0,1,0,1,0,0,1,0
